Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2511","Blé","2013","2013","Milliers de tonnes","6196","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2513","Orge","2013","2013","Milliers de tonnes","1440","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2514","Maïs","2013","2013","Milliers de tonnes","128024","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2515","Seigle","2013","2013","Milliers de tonnes","184","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2516","Avoine","2013","2013","Milliers de tonnes","1430","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2517","Millet","2013","2013","Milliers de tonnes","394","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2518","Sorgho","2013","2013","Milliers de tonnes","2351","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2520","Céréales, Autres","2013","2013","Milliers de tonnes","77","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2532","Manioc","2013","2013","Milliers de tonnes","288","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2531","Pommes de Terre","2013","2013","Milliers de tonnes","138","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2533","Patates douces","2013","2013","Milliers de tonnes","45","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2546","Haricots","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","165","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2555","Soja","2013","2013","Milliers de tonnes","2240","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2557","Graines de tournesol","2013","2013","Milliers de tonnes","323","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2559","Graines de coton","2013","2013","Milliers de tonnes","1800","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2605","Légumes, Autres","2013","2013","Milliers de tonnes","193","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2735","Viande, Autre","2013","2013","Milliers de tonnes","33","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2736","Abats Comestible","2013","2013","Milliers de tonnes","800","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2737","Graisses Animales Crue","2013","2013","Milliers de tonnes","1250","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2781","Huiles de Poissons","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2848","Lait - Excl Beurre","2013","2013","Milliers de tonnes","481","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2761","Poissons Eau Douce","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2762","Perciform","2013","2013","Milliers de tonnes","355","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5521","Aliments pour animaux","2763","Poissons Pelagiques","2013","2013","Milliers de tonnes","208","S","Données standardisées"
